image_id,style_id,image_type,image_path,file_exists,file_ext,file_size
style_19_original,style_19,original,D:\AI_Project\nail\美甲图\原始款式图URL\19.png,1,.png,1040053
style_19_enhanced,style_19,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\19.png,1,.png,1430337
style_19_style_url,style_19,style_url,D:\AI_Project\nail\美甲图\款式图URL\19.png,1,.png,1430337
style_20_original,style_20,original,D:\AI_Project\nail\美甲图\原始款式图URL\20.png,1,.png,1139460
style_20_enhanced,style_20,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\20.png,1,.png,1381726
style_20_style_url,style_20,style_url,D:\AI_Project\nail\美甲图\款式图URL\20.png,1,.png,1381726
style_21_original,style_21,original,D:\AI_Project\nail\美甲图\原始款式图URL\21.png,1,.png,1009918
style_21_enhanced,style_21,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\21.png,1,.png,1411927
style_21_style_url,style_21,style_url,D:\AI_Project\nail\美甲图\款式图URL\21.png,1,.png,1411927
style_22_original,style_22,original,D:\AI_Project\nail\美甲图\原始款式图URL\22.png,1,.png,963164
style_22_enhanced,style_22,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\22.png,1,.png,1270162
style_22_style_url,style_22,style_url,D:\AI_Project\nail\美甲图\款式图URL\22.png,1,.png,1270162
style_23_original,style_23,original,D:\AI_Project\nail\美甲图\原始款式图URL\23.png,1,.png,982638
style_23_enhanced,style_23,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\23.png,1,.png,1201099
style_23_style_url,style_23,style_url,D:\AI_Project\nail\美甲图\款式图URL\23.png,1,.png,1201099
style_24_original,style_24,original,D:\AI_Project\nail\美甲图\原始款式图URL\24.png,1,.png,1076304
style_24_enhanced,style_24,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\24.png,1,.png,1491955
style_24_style_url,style_24,style_url,D:\AI_Project\nail\美甲图\款式图URL\24.png,1,.png,1491955
style_25_original,style_25,original,D:\AI_Project\nail\美甲图\原始款式图URL\25.png,1,.png,1211916
style_25_enhanced,style_25,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\25.png,1,.png,1501913
style_25_style_url,style_25,style_url,D:\AI_Project\nail\美甲图\款式图URL\25.png,1,.png,1501913
